sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2023-12-07 13:39:29.530 +0200,,,,,,,,,,,,,,,,,
 2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 113232693, -6.78740930557251, -0.8511699438095093, 7.166116237640381, -2.3501060009002686, -1.613702654838562, -2.325671434402466, 1.12255859375, -0.406005859375, 0.053955078125
2, 113249360, -6.7884297370910645, -0.8661283254623413, 7.165719509124756, -2.4417741298675537, -1.5714930295944214, -2.2875473499298096, 1.12548828125, -0.405517578125, 0.053955078125
3, 113266027, -6.776057720184326, -0.8589564561843872, 7.191073894500732, -2.451712131500244, -1.5318059921264648, -2.1680893898010254, 1.1220703125, -0.406005859375, 0.053955078125
4, 113282694, -6.771656036376953, -0.8529616594314575, 7.149526119232178, -2.395171642303467, -1.5936349630355835, -2.2179956436157227, 1.120361328125, -0.406005859375, 0.053955078125
5, 113299361, -6.780943393707275, -0.8634890913963318, 7.1582183837890625, -2.284306764602661, -1.6280839443206787, -2.1934714317321777, 1.120849609375, -0.405517578125, 0.05224609375
6, 113316028, -6.77381706237793, -0.8651224374771118, 7.176229476928711, -2.2905821800231934, -1.7116841077804565, -2.277750253677368, 1.121337890625, -0.404541015625, 0.055419921875
7, 113332695, -6.777007579803467, -0.8420267701148987, 7.156630992889404, -2.3330607414245605, -1.7312006950378418, -2.2568628787994385, 1.12158203125, -0.408447265625, 0.053466796875
8, 113349362, -6.763017177581787, -0.866839587688446, 7.170450687408447, -2.36660099029541, -1.6647871732711792, -2.3016085624694824, 1.120849609375, -0.406982421875, 0.053955078125
9, 113366029, -6.7744317054748535, -0.8594849705696106, 7.160734176635742, -2.2517662048339844, -1.7370021343231201, -2.229342222213745, 1.1240234375, -0.408447265625, 0.0517578125
10, 113382696, -6.776130199432373, -0.8740536570549011, 7.181733131408691, -2.157947063446045, -1.7293055057525635, -2.264444351196289, 1.121337890625, -0.405029296875, 0.05322265625
11, 113399363, -6.764039993286133, -0.8714738488197327, 7.163869380950928, -2.0869100093841553, -1.8131099939346313, -2.038079261779785, 1.123046875, -0.405029296875, 0.052734375
12, 113416030, -6.782483100891113, -0.8459272980690002, 7.162351131439209, -2.075115203857422, -1.8136351108551025, -1.9881088733673096, 1.121337890625, -0.406494140625, 0.052734375
13, 113432697, -6.772291660308838, -0.8624978065490723, 7.161890983581543, -1.9738807678222656, -1.956618070602417, -1.9148437976837158, 1.121337890625, -0.405029296875, 0.053955078125
14, 113449364, -6.78646993637085, -0.8378252983093262, 7.1661295890808105, -2.0671112537384033, -1.8737610578536987, -2.022852659225464, 1.12451171875, -0.406982421875, 0.053955078125
15, 113466031, -6.762846946716309, -0.8526172637939453, 7.168097019195557, -2.0708374977111816, -1.7240419387817383, -1.9774025678634644, 1.123046875, -0.404541015625, 0.053466796875
16, 113482698, -6.757214069366455, -0.863918125629425, 7.154078483581543, -2.0372211933135986, -1.6051222085952759, -2.0704920291900635, 1.121826171875, -0.406494140625, 0.05224609375
17, 113499365, -6.768518447875977, -0.8503258228302002, 7.161471366882324, -2.227933645248413, -1.9543256759643555, -2.164452314376831, 1.120849609375, -0.406494140625, 0.0517578125
18, 113516032, -6.772633075714111, -0.8523728251457214, 7.167778968811035, -2.1070799827575684, -1.8978495597839355, -2.0772666931152344, 1.120849609375, -0.405517578125, 0.05322265625
19, 113532699, -6.76778507232666, -0.8475191593170166, 7.160655975341797, -2.2155628204345703, -1.9357566833496094, -2.0982437133789062, 1.121826171875, -0.406494140625, 0.0517578125
20, 113549366, -6.771615028381348, -0.8251792788505554, 7.152475833892822, -2.196058511734009, -1.8109843730926514, -2.0920963287353516, 1.12109375, -0.40869140625, 0.05224609375
21, 113566033, -6.772581577301025, -0.8479890823364258, 7.161637783050537, -2.3049635887145996, -1.704179286956787, -2.13716197013855, 1.12255859375, -0.4091796875, 0.052978515625
22, 113582700, -6.756379127502441, -0.8587616086006165, 7.167093276977539, -2.333035469055176, -1.591803789138794, -2.1992218494415283, 1.1220703125, -0.406494140625, 0.053466796875
23, 113599367, -6.774689674377441, -0.8483960032463074, 7.15763521194458, -2.323481559753418, -1.421568751335144, -2.189655065536499, 1.121337890625, -0.406494140625, 0.05126953125
24, 113616034, -6.763922691345215, -0.8442676663398743, 7.176215648651123, -2.405532121658325, -1.50309419631958, -2.2600135803222656, 1.121337890625, -0.406494140625, 0.054931640625
25, 113632701, -6.770685195922852, -0.8454013466835022, 7.163119316101074, -2.467578887939453, -1.5143766403198242, -2.323084831237793, 1.123046875, -0.406494140625, 0.053466796875
26, 113649368, -6.780073165893555, -0.8556494116783142, 7.160821437835693, -2.4976096153259277, -1.624895453453064, -2.331191301345825, 1.12255859375, -0.406494140625, 0.052490234375
27, 113666035, -6.766674995422363, -0.8343653082847595, 7.166085720062256, -2.4817683696746826, -1.5160413980484009, -2.3528082370758057, 1.123046875, -0.406982421875, 0.052490234375
28, 113682702, -6.775484085083008, -0.8483080863952637, 7.15409517288208, -2.5515503883361816, -1.5571755170822144, -2.405186653137207, 1.121826171875, -0.404541015625, 0.052734375
29, 113699369, -6.752923488616943, -0.8274160623550415, 7.178489685058594, -2.5163328647613525, -1.583044409751892, -2.4795401096343994, 1.119873046875, -0.407958984375, 0.05322265625
30, 113716036, -6.765007495880127, -0.8565589189529419, 7.171627521514893, -2.739061117172241, -1.3709455728530884, -2.5939137935638428, 1.120849609375, -0.406982421875, 0.052734375
31, 113732703, -6.765260219573975, -0.8435140252113342, 7.1696367263793945, -2.8166513442993164, -1.3748583793640137, -2.6615118980407715, 1.12255859375, -0.406982421875, 0.052490234375
32, 113749370, -6.75754451751709, -0.8813599944114685, 7.178316116333008, -2.69514799118042, -1.3462164402008057, -2.661595106124878, 1.120849609375, -0.404541015625, 0.053466796875
33, 113766037, -6.772328853607178, -0.8401200175285339, 7.155207633972168, -2.92484188079834, -1.1291357278823853, -2.693751335144043, 1.121826171875, -0.406005859375, 0.052734375
34, 113782704, -6.7684645652771, -0.8834946155548096, 7.150691509246826, -2.7631750106811523, -1.3555651903152466, -2.5277178287506104, 1.120361328125, -0.407470703125, 0.05224609375
35, 113799371, -6.775170803070068, -0.884198784828186, 7.161810398101807, -2.6122140884399414, -1.572351098060608, -2.3559844493865967, 1.122314453125, -0.405029296875, 0.052978515625
36, 113816038, -6.778936862945557, -0.8587725758552551, 7.153142929077148, -2.576509714126587, -1.5504649877548218, -2.4180569648742676, 1.121337890625, -0.406005859375, 0.05322265625
37, 113832705, -6.776690483093262, -0.8619970679283142, 7.171555519104004, -2.515474557876587, -1.4846274852752686, -2.4450907707214355, 1.122314453125, -0.405517578125, 0.053955078125
38, 113849372, -6.782511234283447, -0.8597955703735352, 7.152276515960693, -2.506113290786743, -1.6093101501464844, -2.469064474105835, 1.1220703125, -0.407470703125, 0.052734375
39, 113866039, -6.759494304656982, -0.8673925995826721, 7.130428791046143, -2.3708393573760986, -1.6944849491119385, -2.4082980155944824, 1.119384765625, -0.406982421875, 0.052734375
40, 113882706, -6.775592803955078, -0.8510042428970337, 7.157689571380615, -2.4309144020080566, -1.676171898841858, -2.3492095470428467, 1.12255859375, -0.406494140625, 0.052978515625
