sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2023-12-05 15:32:12.847 +0200,,,,,,,,,,,,,,,,,
 2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 595638615, -6.73873233795166, 1.8421132564544678, 6.994272232055664, -2.363731861114502, -1.4291245937347412, -2.160904884338379, 1.108642578125, -0.586181640625, 0.085205078125
2, 595655282, -6.74774694442749, 1.8385382890701294, 7.004176139831543, -2.4403140544891357, -1.5468919277191162, -2.196762800216675, 1.107666015625, -0.58740234375, 0.088134765625
3, 595671949, -6.761041641235352, 1.8474849462509155, 6.98435115814209, -2.3814048767089844, -1.6582303047180176, -2.211336851119995, 1.109375, -0.5888671875, 0.087158203125
4, 595688616, -6.739444255828857, 1.8268539905548096, 7.004080772399902, -2.475083112716675, -1.6361134052276611, -2.234131336212158, 1.109619140625, -0.586181640625, 0.086669921875
5, 595705283, -6.757036209106445, 1.8381654024124146, 7.01885986328125, -2.4326560497283936, -1.5845168828964233, -2.1015477180480957, 1.108154296875, -0.586181640625, 0.086669921875
6, 595721950, -6.753021240234375, 1.8391804695129395, 6.993606090545654, -2.4589598178863525, -1.6071584224700928, -2.1167101860046387, 1.108642578125, -0.58740234375, 0.087158203125
7, 595738617, -6.7526469230651855, 1.8407690525054932, 7.009433746337891, -2.3933403491973877, -1.5913938283920288, -2.164401054382324, 1.107666015625, -0.584716796875, 0.085693359375
8, 595755284, -6.756336212158203, 1.8320753574371338, 7.000304698944092, -2.4402759075164795, -1.6021385192871094, -2.233107566833496, 1.109130859375, -0.5888671875, 0.087158203125
9, 595771951, -6.746796607971191, 1.833715796470642, 6.991212844848633, -2.3979506492614746, -1.6368052959442139, -2.1477785110473633, 1.1103515625, -0.58740234375, 0.0888671875
10, 595788618, -6.736273288726807, 1.8423768281936646, 7.022061347961426, -2.468641757965088, -1.6969822645187378, -2.134946584701538, 1.109130859375, -0.585693359375, 0.086181640625
11, 595805285, -6.739523887634277, 1.8403338193893433, 7.017637729644775, -2.467578649520874, -1.6744558811187744, -2.179243803024292, 1.108154296875, -0.586669921875, 0.085693359375
12, 595821952, -6.756051063537598, 1.832755208015442, 6.983591556549072, -2.4795656204223633, -1.6147401332855225, -2.198735237121582, 1.107177734375, -0.587890625, 0.085205078125
13, 595838619, -6.749416351318359, 1.842322587966919, 6.989660739898682, -2.433257579803467, -1.6272004842758179, -2.13584303855896, 1.107666015625, -0.587158203125, 0.085205078125
14, 595855286, -6.744490146636963, 1.840362310409546, 6.9995551109313965, -2.3793046474456787, -1.6492146253585815, -2.1229727268218994, 1.107177734375, -0.58740234375, 0.087158203125
15, 595871953, -6.7354044914245605, 1.8380825519561768, 7.011344909667969, -2.377460241317749, -1.580892562866211, -2.073936939239502, 1.109130859375, -0.586669921875, 0.086181640625
16, 595888620, -6.751768589019775, 1.8644126653671265, 6.988367080688477, -2.4238195419311523, -1.576051950454712, -2.1730968952178955, 1.10986328125, -0.5888671875, 0.086669921875
17, 595905287, -6.740001678466797, 1.8375452756881714, 6.999292850494385, -2.451174020767212, -1.671830654144287, -2.140965700149536, 1.106689453125, -0.585205078125, 0.086669921875
18, 595921954, -6.74155330657959, 1.8265596628189087, 7.004462242126465, -2.3924179077148438, -1.7060874700546265, -2.202730417251587, 1.108642578125, -0.585205078125, 0.085693359375
19, 595938621, -6.746726036071777, 1.846773624420166, 6.987915992736816, -2.489259958267212, -1.5895113945007324, -2.1581006050109863, 1.106201171875, -0.587158203125, 0.087158203125
20, 595955288, -6.746524810791016, 1.8328015804290771, 6.998405933380127, -2.3587372303009033, -1.5300129652023315, -2.126250743865967, 1.109130859375, -0.5888671875, 0.084716796875
21, 595971955, -6.73971700668335, 1.8418354988098145, 7.005247116088867, -2.4735848903656006, -1.6526594161987305, -2.1166720390319824, 1.108642578125, -0.587158203125, 0.086669921875
