sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2023-12-07 13:30:19.333 +0200,,,,,,,,,,,,,,,,,
 2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 3857972318, -6.828300476074219, -0.9388244152069092, 7.074512481689453, -2.5731029510498047, -1.4904671907424927, -2.306999921798706, 1.11865234375, -0.385498046875, 0.0654296875
2, 3857988985, -6.834914684295654, -0.9295125007629395, 7.094494819641113, -2.558708906173706, -1.4107604026794434, -2.3745791912078857, 1.12109375, -0.386962890625, 0.066162109375
3, 3858005652, -6.833221912384033, -0.931359589099884, 7.094848155975342, -2.597947120666504, -1.3589842319488525, -2.2773659229278564, 1.1220703125, -0.386474609375, 0.064453125
4, 3858022319, -6.856323719024658, -0.944397509098053, 7.084400177001953, -2.6410796642303467, -1.3911540508270264, -2.4026381969451904, 1.12060546875, -0.385009765625, 0.06494140625
5, 3858038986, -6.847973823547363, -0.9497337937355042, 7.086408615112305, -2.56844162940979, -1.413027048110962, -2.413292646408081, 1.12060546875, -0.38916015625, 0.066162109375
6, 3858055653, -6.834953308105469, -0.9299877285957336, 7.09385871887207, -2.5117506980895996, -1.368212342262268, -2.386909008026123, 1.11962890625, -0.386474609375, 0.06640625
7, 3858072320, -6.854521751403809, -0.9408576488494873, 7.088644981384277, -2.6341636180877686, -1.4345160722732544, -2.3120839595794678, 1.119140625, -0.386962890625, 0.067138671875
8, 3858088987, -6.837193965911865, -0.9277639985084534, 7.100260257720947, -2.6318719387054443, -1.4215947389602661, -2.4807186126708984, 1.1220703125, -0.385009765625, 0.06591796875
9, 3858105654, -6.835114002227783, -0.9343153834342957, 7.081647872924805, -2.6728265285491943, -1.3917303085327148, -2.4698331356048584, 1.1181640625, -0.3876953125, 0.06494140625
10, 3858122321, -6.841190338134766, -0.937210202217102, 7.099385738372803, -2.6629526615142822, -1.4171509742736816, -2.441441297531128, 1.1201171875, -0.387451171875, 0.064453125
