sep=,
DeviceTag:,B,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-16 15:00:35.267 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 3753043855, -5.262201309204102, -1.8198076486587524, 7.944689750671387, -0.24881458282470703, -0.7536153197288513, -1.6120376586914062, 0.715087890625, 0.05615234375, -0.636962890625
2, 3753060522, -5.265760898590088, -1.8173469305038452, 7.94536018371582, -0.30703216791152954, -0.9142835736274719, -1.7767783403396606, 0.715087890625, 0.0546875, -0.6337890625
3, 3753077189, -5.237857818603516, -1.8460685014724731, 7.950149059295654, -0.23023252189159393, -0.9533045887947083, -1.645026683807373, 0.714111328125, 0.0537109375, -0.6357421875
4, 3753093856, -5.226872444152832, -1.8311959505081177, 7.971341133117676, -0.10493522882461548, -1.0366098880767822, -1.5699046850204468, 0.716064453125, 0.0556640625, -0.63427734375
5, 3753110523, -5.231772422790527, -1.8106374740600586, 7.951202392578125, -0.1544317901134491, -0.9613344073295593, -1.535635232925415, 0.71240234375, 0.05517578125, -0.635986328125
6, 3753127190, -5.245613098144531, -1.8149347305297852, 7.9377055168151855, -0.2523235082626343, -0.853632926940918, -1.5538840293884277, 0.713623046875, 0.0546875, -0.634765625
7, 3753143857, -5.224592685699463, -1.83274507522583, 7.962928295135498, -0.3544541299343109, -0.783133864402771, -1.64434814453125, 0.716064453125, 0.05517578125, -0.63623046875
8, 3753160524, -5.250702381134033, -1.8092120885849, 7.934762001037598, -0.3450543284416199, -0.7396692037582397, -1.5769612789154053, 0.716552734375, 0.0556640625, -0.6357421875
9, 3753177191, -5.2352824211120605, -1.8143686056137085, 7.947551727294922, -0.2538602948188782, -0.7499781847000122, -1.6735849380493164, 0.713623046875, 0.0537109375, -0.634765625
10, 3753193858, -5.2409467697143555, -1.8171665668487549, 7.960512161254883, -0.28442901372909546, -0.7375816106796265, -1.692192554473877, 0.715087890625, 0.0546875, -0.63623046875
