sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-16 15:35:13.142 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 1536201454, -5.209630966186523, 1.6561659574508667, 8.226448059082031, -2.400319814682007, -1.8206276893615723, -2.0213286876678467, 0.2802734375, -0.163818359375, -0.92138671875
2, 1536218121, -5.198758602142334, 1.6589008569717407, 8.234928131103516, -2.333189010620117, -1.810228943824768, -2.0412042140960693, 0.2802734375, -0.162353515625, -0.922607421875
3, 1536234788, -5.205719947814941, 1.6686749458312988, 8.225586891174316, -2.328322410583496, -1.7664694786071777, -1.9896584749221802, 0.28125, -0.162841796875, -0.924072265625
4, 1536251455, -5.190351486206055, 1.6596665382385254, 8.237253189086914, -2.3520398139953613, -1.707496166229248, -2.0015299320220947, 0.28173828125, -0.163818359375, -0.919921875
5, 1536268122, -5.192147254943848, 1.6539263725280762, 8.227787971496582, -2.295858144760132, -1.5840173959732056, -2.041024684906006, 0.27880859375, -0.16064453125, -0.923583984375
6, 1536284789, -5.200294017791748, 1.6574304103851318, 8.235625267028809, -2.233785629272461, -1.5439462661743164, -2.123241424560547, 0.27978515625, -0.1611328125, -0.924072265625
7, 1536301456, -5.197449684143066, 1.664371132850647, 8.239563941955566, -2.2257180213928223, -1.520293116569519, -2.0210213661193848, 0.2802734375, -0.16064453125, -0.922119140625
8, 1536318123, -5.196505069732666, 1.6668670177459717, 8.248510360717773, -2.1702792644500732, -1.4099534749984741, -1.934527039527893, 0.279296875, -0.162353515625, -0.922607421875
9, 1536334790, -5.2086262702941895, 1.6712350845336914, 8.231182098388672, -2.170868396759033, -1.5169248580932617, -1.9604600667953491, 0.28173828125, -0.162841796875, -0.923095703125
10, 1536351457, -5.20869779586792, 1.689150094985962, 8.249449729919434, -2.2069950103759766, -1.4934124946594238, -2.0230445861816406, 0.28076171875, -0.163330078125, -0.922607421875
11, 1536368124, -5.202033042907715, 1.6681263446807861, 8.234816551208496, -2.1901161670684814, -1.5132111310958862, -2.1549370288848877, 0.28125, -0.164794921875, -0.923583984375
12, 1536384791, -5.216491222381592, 1.6635730266571045, 8.25156021118164, -2.2199549674987793, -1.3621857166290283, -2.0345706939697266, 0.27978515625, -0.162841796875, -0.924072265625
13, 1536401458, -5.2244720458984375, 1.659468650817871, 8.238012313842773, -2.2237844467163086, -1.4851267337799072, -1.857535481452942, 0.28076171875, -0.162841796875, -0.9189453125
14, 1536418125, -5.224049091339111, 1.6776195764541626, 8.225759506225586, -2.1412854194641113, -1.6400705575942993, -1.9400722980499268, 0.28076171875, -0.164306640625, -0.923095703125
15, 1536434792, -5.220589637756348, 1.6787885427474976, 8.244534492492676, -2.2452988624572754, -1.8576889038085938, -2.022583484649658, 0.28125, -0.162353515625, -0.922607421875
16, 1536451459, -5.189853191375732, 1.6644644737243652, 8.209854125976562, -2.4711904525756836, -1.9246407747268677, -2.010110378265381, 0.28076171875, -0.163818359375, -0.922607421875
17, 1536468126, -5.193554878234863, 1.6650190353393555, 8.237702369689941, -2.422436237335205, -1.8545899391174316, -2.013606548309326, 0.2802734375, -0.163818359375, -0.921875
18, 1536484793, -5.196394443511963, 1.6824557781219482, 8.230706214904785, -2.624469518661499, -1.9122698307037354, -1.9671580791473389, 0.28076171875, -0.164306640625, -0.922607421875
19, 1536501460, -5.206549644470215, 1.671554446220398, 8.22786808013916, -2.695967674255371, -2.0920839309692383, -2.204447031021118, 0.27978515625, -0.164306640625, -0.922119140625
20, 1536518127, -5.185599327087402, 1.670616865158081, 8.214431762695312, -2.817230224609375, -2.108398914337158, -2.3338160514831543, 0.279296875, -0.163330078125, -0.923095703125
21, 1536534794, -5.187453746795654, 1.6533689498901367, 8.248852729797363, -2.843419313430786, -1.9674522876739502, -2.3374531269073486, 0.279296875, -0.161865234375, -0.922607421875
22, 1536551461, -5.200608253479004, 1.6430103778839111, 8.245497703552246, -2.5730135440826416, -1.8715072870254517, -2.2465672492980957, 0.2783203125, -0.16162109375, -0.924560546875
23, 1536568128, -5.169435024261475, 1.6561146974563599, 8.257822036743164, -2.3604023456573486, -1.6209381818771362, -2.132270336151123, 0.277587890625, -0.16162109375, -0.923583984375
24, 1536584795, -5.213486671447754, 1.645156741142273, 8.24488353729248, -2.2673768997192383, -1.545060396194458, -2.0772411823272705, 0.279296875, -0.16162109375, -0.924560546875
25, 1536601462, -5.224308013916016, 1.6380375623703003, 8.225530624389648, -2.0452511310577393, -1.7789812088012695, -1.7868701219558716, 0.27880859375, -0.163818359375, -0.921630859375
26, 1536618129, -5.19705057144165, 1.6649103164672852, 8.235010147094727, -1.9194923639297485, -1.8980289697647095, -1.734158992767334, 0.27978515625, -0.161865234375, -0.923095703125
27, 1536634796, -5.201982498168945, 1.6648324728012085, 8.234633445739746, -1.8568698167800903, -1.8909728527069092, -1.6721892356872559, 0.27880859375, -0.163330078125, -0.92138671875
28, 1536651463, -5.178064346313477, 1.6759121417999268, 8.24886703491211, -1.9186216592788696, -1.8321278095245361, -1.6323999166488647, 0.27978515625, -0.162841796875, -0.926025390625
29, 1536668130, -5.182409286499023, 1.6792625188827515, 8.243915557861328, -1.9528400897979736, -1.7573384046554565, -1.856920599937439, 0.27978515625, -0.166259765625, -0.921875
30, 1536684797, -5.171089172363281, 1.6976292133331299, 8.23211669921875, -2.108808755874634, -1.7721425294876099, -1.9758659601211548, 0.2783203125, -0.164306640625, -0.924560546875
31, 1536701464, -5.172277450561523, 1.6662993431091309, 8.264548301696777, -2.2341060638427734, -1.75221586227417, -2.068058967590332, 0.279296875, -0.164794921875, -0.923583984375
32, 1536718131, -5.190473556518555, 1.6712526082992554, 8.237558364868164, -2.299905300140381, -1.8626325130462646, -2.1414268016815186, 0.27978515625, -0.163330078125, -0.924072265625
