sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2023-12-05 14:47:38.846 +0200,,,,,,,,,,,,,,,,,
 2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 2216635766, -6.706425189971924, 1.7905486822128296, 7.047637462615967, -2.634957790374756, -1.5014677047729492, -2.4287755489349365, 1.1064453125, -0.578125, 0.080810546875
2, 2216652433, -6.706826686859131, 1.7996551990509033, 7.06019401550293, -2.51328444480896, -1.397377610206604, -2.3751296997070312, 1.10498046875, -0.57666015625, 0.08203125
3, 2216669100, -6.717898845672607, 1.7991321086883545, 7.038990020751953, -2.4892983436584473, -1.404843807220459, -2.4524033069610596, 1.10400390625, -0.57666015625, 0.081787109375
4, 2216685767, -6.715973854064941, 1.7959684133529663, 7.043564796447754, -2.622403860092163, -1.498637318611145, -2.3634748458862305, 1.10400390625, -0.57666015625, 0.080322265625
5, 2216702434, -6.721053600311279, 1.802109956741333, 7.018047332763672, -2.5330066680908203, -1.5527315139770508, -2.337991237640381, 1.10546875, -0.57666015625, 0.08154296875
6, 2216719101, -6.729524612426758, 1.799555778503418, 7.042228698730469, -2.5426368713378906, -1.6305173635482788, -2.3716464042663574, 1.10546875, -0.5771484375, 0.079833984375
7, 2216735768, -6.719759464263916, 1.8126624822616577, 7.043017864227295, -2.5602715015411377, -1.7357217073440552, -2.3428196907043457, 1.103515625, -0.5771484375, 0.082275390625
8, 2216752435, -6.707129955291748, 1.7962884902954102, 7.0450119972229, -2.6203970909118652, -1.7696199417114258, -2.262075185775757, 1.103515625, -0.57861328125, 0.08251953125
9, 2216769102, -6.693737983703613, 1.810084342956543, 7.057391166687012, -2.52579665184021, -1.6865578889846802, -2.3752453327178955, 1.10400390625, -0.5791015625, 0.08203125
10, 2216785769, -6.703007221221924, 1.785857081413269, 7.0438666343688965, -2.5223774909973145, -1.6290318965911865, -2.385272741317749, 1.10302734375, -0.578125, 0.081787109375
11, 2216802436, -6.698918342590332, 1.8091827630996704, 7.043451309204102, -2.5429441928863525, -1.5256460905075073, -2.326939344406128, 1.10400390625, -0.57666015625, 0.081787109375
12, 2216819103, -6.72500467300415, 1.7976057529449463, 7.032943248748779, -2.6192448139190674, -1.5593911409378052, -2.394531726837158, 1.1044921875, -0.57861328125, 0.080810546875
13, 2216835770, -6.695657730102539, 1.7946375608444214, 7.020510196685791, -2.7200050354003906, -1.5524241924285889, -2.4675917625427246, 1.10693359375, -0.57763671875, 0.080810546875
14, 2216852437, -6.702755928039551, 1.7883307933807373, 7.0322794914245605, -2.7147161960601807, -1.506142258644104, -2.578559160232544, 1.10595703125, -0.578125, 0.080810546875
15, 2216869104, -6.7177815437316895, 1.7787243127822876, 7.028478145599365, -2.572911262512207, -1.539950966835022, -2.4665801525115967, 1.10595703125, -0.576416015625, 0.08154296875
16, 2216885771, -6.705676555633545, 1.7796214818954468, 7.029700756072998, -2.4798858165740967, -1.62501060962677, -2.257157802581787, 1.10302734375, -0.57763671875, 0.0830078125
17, 2216902438, -6.709635257720947, 1.7810838222503662, 7.04511022567749, -2.5604374408721924, -1.5008273124694824, -2.3072304725646973, 1.10595703125, -0.576416015625, 0.080810546875
18, 2216919105, -6.702739715576172, 1.789646863937378, 7.0439581871032715, -2.5056519508361816, -1.5849266052246094, -2.305898427963257, 1.10546875, -0.5771484375, 0.08251953125
19, 2216935772, -6.706760883331299, 1.7712862491607666, 7.045578479766846, -2.5089685916900635, -1.6244597434997559, -2.261063575744629, 1.10693359375, -0.578125, 0.080810546875
20, 2216952439, -6.710687160491943, 1.7852864265441895, 7.032882213592529, -2.4491629600524902, -1.5713646411895752, -2.1155576705932617, 1.10400390625, -0.57666015625, 0.081787109375
21, 2216969106, -6.707713603973389, 1.79768967628479, 7.047477722167969, -2.3778958320617676, -1.6168144941329956, -2.1609818935394287, 1.1025390625, -0.57861328125, 0.081298828125
