sep=,
DeviceTag:,B,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2023-12-05 15:09:30.285 +0200,,,,,,,,,,,,,,,,,
 2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 3528078661, -7.316081523895264, -1.4395257234573364, 6.214142799377441, -0.49998554587364197, -0.4875761568546295, -1.422772765159607, 0.878662109375, 0.291015625, -0.389892578125
2, 3528095328, -7.309482574462891, -1.4398545026779175, 6.225931644439697, -0.3547615110874176, -0.5333971977233887, -1.2997292280197144, 0.879150390625, 0.291015625, -0.392333984375
3, 3528111995, -7.307872295379639, -1.4544687271118164, 6.229319095611572, -0.2963005304336548, -0.5085402131080627, -1.2338662147521973, 0.879150390625, 0.288818359375, -0.392333984375
4, 3528128662, -7.314319610595703, -1.4427887201309204, 6.221606254577637, -0.4102642238140106, -0.5396596193313599, -1.363556146621704, 0.878662109375, 0.29052734375, -0.388916015625
5, 3528145329, -7.302124977111816, -1.4411476850509644, 6.218684196472168, -0.41858839988708496, -0.5543485283851624, -1.4104145765304565, 0.876220703125, 0.291259765625, -0.390380859375
6, 3528161996, -7.310415744781494, -1.4413772821426392, 6.229204177856445, -0.3774671256542206, -0.6073923707008362, -1.4353355169296265, 0.876708984375, 0.290771484375, -0.391357421875
7, 3528178663, -7.312796115875244, -1.4515904188156128, 6.216579437255859, -0.3126670718193054, -0.629086434841156, -1.3929212093353271, 0.878662109375, 0.291015625, -0.391357421875
8, 3528195330, -7.299429416656494, -1.4523046016693115, 6.217048168182373, -0.28675979375839233, -0.8131775856018066, -1.3584976196289062, 0.878173828125, 0.289306640625, -0.391845703125
9, 3528211997, -7.308213233947754, -1.4506460428237915, 6.205855369567871, -0.17886628210544586, -0.8671435713768005, -1.2226861715316772, 0.878662109375, 0.29052734375, -0.390869140625
10, 3528228664, -7.318958282470703, -1.449257731437683, 6.206370830535889, -0.15536662936210632, -0.7903311252593994, -1.0601481199264526, 0.879150390625, 0.2919921875, -0.392822265625
11, 3528245331, -7.298981189727783, -1.4443261623382568, 6.201866149902344, -0.09549695253372192, -0.8561173677444458, -1.101269245147705, 0.877685546875, 0.290283203125, -0.390869140625
12, 3528261998, -7.307678699493408, -1.4485660791397095, 6.2257208824157715, -0.2018537074327469, -0.8099632263183594, -1.0486608743667603, 0.878662109375, 0.289306640625, -0.389404296875
13, 3528278665, -7.304317474365234, -1.4432549476623535, 6.2170891761779785, -0.13827016949653625, -0.7543964982032776, -1.0646686553955078, 0.878662109375, 0.290283203125, -0.393798828125
14, 3528295332, -7.29299783706665, -1.4526530504226685, 6.231059551239014, -0.11863801628351212, -0.8695383071899414, -0.9752547740936279, 0.877685546875, 0.290283203125, -0.391845703125
15, 3528311999, -7.312380790710449, -1.4389965534210205, 6.209095478057861, -0.12399106472730637, -0.9212631583213806, -0.9683008790016174, 0.878173828125, 0.288818359375, -0.390869140625
16, 3528328666, -7.314135551452637, -1.4307135343551636, 6.211781978607178, 0.005654003471136093, -0.8597159385681152, -1.0073730945587158, 0.877197265625, 0.289794921875, -0.388427734375
17, 3528345333, -7.306833267211914, -1.440033197402954, 6.206431865692139, -0.006979461293667555, -0.9456208348274231, -0.896598219871521, 0.878662109375, 0.289794921875, -0.390380859375
18, 3528362000, -7.313223361968994, -1.4494937658309937, 6.194905757904053, 0.18676139414310455, -1.123180866241455, -0.7062830328941345, 0.879150390625, 0.290283203125, -0.390869140625
19, 3528378667, -7.29802942276001, -1.432316541671753, 6.222407341003418, 0.34579065442085266, -1.2080613374710083, -0.5824199914932251, 0.878662109375, 0.290771484375, -0.391845703125
20, 3528395334, -7.315967082977295, -1.4422214031219482, 6.198437213897705, 0.4521345794200897, -1.1706156730651855, -0.48852384090423584, 0.88134765625, 0.2900390625, -0.390869140625
21, 3528412001, -7.304435729980469, -1.416329264640808, 6.237724781036377, 0.35821279883384705, -1.5044643878936768, -0.5841231942176819, 0.878662109375, 0.288818359375, -0.391357421875
22, 3528428668, -7.299458980560303, -1.4244794845581055, 6.25507926940918, 0.2556723654270172, -1.3541946411132812, -0.6355919241905212, 0.876708984375, 0.288818359375, -0.39453125
23, 3528445335, -7.308211326599121, -1.4243313074111938, 6.214044094085693, 0.118772491812706, -1.322921633720398, -0.7859129309654236, 0.878173828125, 0.289794921875, -0.390869140625
24, 3528462002, -7.307024955749512, -1.4392929077148438, 6.225988388061523, 0.03681185469031334, -1.1709870100021362, -0.9429059028625488, 0.878662109375, 0.288330078125, -0.393798828125
25, 3528478669, -7.295841217041016, -1.428002119064331, 6.210529804229736, -0.0175446979701519, -1.0898842811584473, -0.8974689245223999, 0.878662109375, 0.288818359375, -0.393798828125
26, 3528495336, -7.300760746002197, -1.4189456701278687, 6.229206562042236, -0.2202051877975464, -0.822808027267456, -1.1344634294509888, 0.879150390625, 0.287841796875, -0.3955078125
27, 3528512003, -7.281768798828125, -1.4106523990631104, 6.229974746704102, -0.2654884159564972, -0.8168017268180847, -1.2868459224700928, 0.878662109375, 0.290283203125, -0.392822265625
28, 3528528670, -7.3017449378967285, -1.4313507080078125, 6.227137565612793, -0.2884630262851715, -0.6897628307342529, -1.212569236755371, 0.880126953125, 0.288818359375, -0.392333984375
