sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2023-12-07 12:27:49.613 +0200,,,,,,,,,,,,,,,,,
 2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 108313993, -6.816628456115723, -0.8015466928482056, 7.146378517150879, -2.4925124645233154, -1.192949891090393, -2.1431939601898193, 1.119140625, -0.3984375, 0.055908203125
2, 108330660, -6.801270484924316, -0.8042601943016052, 7.1562395095825195, -2.322802782058716, -1.230959177017212, -2.0915584564208984, 1.119140625, -0.396728515625, 0.0556640625
3, 108347327, -6.818633556365967, -0.7865797877311707, 7.145739555358887, -2.36391019821167, -1.2505290508270264, -2.0327322483062744, 1.119140625, -0.397705078125, 0.056396484375
4, 108363994, -6.822192668914795, -0.7777429819107056, 7.141944885253906, -2.3957862854003906, -1.3370598554611206, -2.132270097732544, 1.11865234375, -0.39794921875, 0.055908203125
5, 108380661, -6.815644264221191, -0.7946146726608276, 7.118484020233154, -2.3721327781677246, -1.4798376560211182, -2.1183111667633057, 1.11767578125, -0.39892578125, 0.055908203125
6, 108397328, -6.815821170806885, -0.7875382304191589, 7.126676082611084, -2.2989187240600586, -1.437333345413208, -2.1536948680877686, 1.1201171875, -0.396240234375, 0.057373046875
7, 108413995, -6.817951679229736, -0.7906222343444824, 7.128116607666016, -2.3648974895477295, -1.4903134107589722, -2.1642348766326904, 1.1181640625, -0.39892578125, 0.056884765625
8, 108430662, -6.806214809417725, -0.7950337529182434, 7.126716613769531, -2.2744202613830566, -1.4749327898025513, -2.1004719734191895, 1.120849609375, -0.3984375, 0.055419921875
9, 108447329, -6.82877779006958, -0.782207190990448, 7.141011714935303, -2.2964730262756348, -1.488213062286377, -2.166987895965576, 1.1181640625, -0.39892578125, 0.057861328125
10, 108463996, -6.823201656341553, -0.7939205765724182, 7.1347479820251465, -2.390983819961548, -1.3927032947540283, -2.165489435195923, 1.1171875, -0.3984375, 0.056884765625
11, 108480663, -6.811479091644287, -0.7837552428245544, 7.13234806060791, -2.391867160797119, -1.354156255722046, -2.103020191192627, 1.1181640625, -0.39990234375, 0.058349609375
12, 108497330, -6.7897562980651855, -0.781485378742218, 7.126299858093262, -2.348633050918579, -1.333922028541565, -2.1667957305908203, 1.1171875, -0.39794921875, 0.0546875
13, 108513997, -6.818021774291992, -0.7872064709663391, 7.134856224060059, -2.3344566822052, -1.340645432472229, -2.074615716934204, 1.119873046875, -0.39794921875, 0.056396484375
14, 108530664, -6.823849678039551, -0.7764489054679871, 7.130130290985107, -2.3781778812408447, -1.3334996700286865, -2.0734636783599854, 1.1171875, -0.400390625, 0.057861328125
15, 108547331, -6.823437690734863, -0.7809484601020813, 7.140201091766357, -2.284473419189453, -1.361417293548584, -2.166475534439087, 1.11865234375, -0.39892578125, 0.056396484375
16, 108563998, -6.824598789215088, -0.7706068158149719, 7.127050876617432, -2.2361807823181152, -1.4435571432113647, -1.9994934797286987, 1.1171875, -0.397216796875, 0.05517578125
17, 108580665, -6.818883419036865, -0.7866533994674683, 7.101747512817383, -2.2184951305389404, -1.5418205261230469, -2.2105422019958496, 1.11865234375, -0.3994140625, 0.055908203125
18, 108597332, -6.813173770904541, -0.7766122221946716, 7.124180316925049, -2.2674152851104736, -1.5488895177841187, -2.173506498336792, 1.120361328125, -0.400390625, 0.057861328125
19, 108613999, -6.819612503051758, -0.7829791307449341, 7.141186237335205, -2.272960662841797, -1.6076196432113647, -2.1642861366271973, 1.119873046875, -0.39990234375, 0.057861328125
20, 108630666, -6.810374736785889, -0.7792461514472961, 7.114264965057373, -2.251112699508667, -1.6485100984573364, -2.204587459564209, 1.119873046875, -0.400390625, 0.055419921875
21, 108647333, -6.811866760253906, -0.7784914374351501, 7.1334919929504395, -2.2965242862701416, -1.7567623853683472, -2.3056552410125732, 1.119384765625, -0.39794921875, 0.055908203125
22, 108664000, -6.8149871826171875, -0.7880597710609436, 7.135100841522217, -2.2646749019622803, -1.8660132884979248, -2.281912326812744, 1.119140625, -0.3984375, 0.056396484375
23, 108680667, -6.807096004486084, -0.795222818851471, 7.125929832458496, -2.214064121246338, -1.8448569774627686, -2.225346565246582, 1.119873046875, -0.3994140625, 0.055908203125
24, 108697334, -6.818040370941162, -0.7777093052864075, 7.128228187561035, -2.2598345279693604, -1.8333442211151123, -2.1911792755126953, 1.11865234375, -0.39990234375, 0.056884765625
25, 108714001, -6.818859100341797, -0.7752387523651123, 7.132152557373047, -2.3221371173858643, -1.805247187614441, -2.2183032035827637, 1.118896484375, -0.39990234375, 0.05419921875
26, 108730668, -6.810453414916992, -0.7763127684593201, 7.11957311630249, -2.3478009700775146, -1.7912369966506958, -2.2284202575683594, 1.11865234375, -0.397216796875, 0.055908203125
27, 108747335, -6.8094072341918945, -0.7709059715270996, 7.130500316619873, -2.3546526432037354, -1.7758311033248901, -2.3378376960754395, 1.118896484375, -0.39990234375, 0.056396484375
28, 108764002, -6.812407970428467, -0.7788361310958862, 7.11988639831543, -2.304220676422119, -1.7557376623153687, -2.2849342823028564, 1.119384765625, -0.39794921875, 0.056884765625
